2024학년도 1학기 학부 개설강좌 일람표,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,('24. 1. 24. 14시 기준)
11,본부,,교육혁신과,전학년,EA1101054,001,비유와 우화로 보는 철학 산책,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
12,본부,,교육혁신과,전학년,EA1101055,001,생명의 파노라마,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
13,본부,,교육혁신과,전학년,EA1101078,001,음성데이터의 특성과 처리 1: 기초 음성학과 음향 분석,일반선택,3,3,0,,10,목 17:00-20:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
14,본부,,교육혁신과,전학년,EA1101102,001,컴퓨팅사고력(일반),일반선택,3,3,0,,20,토 10:00-13:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
15,본부,,교육혁신과,전학년,EA1101103,001,과학과문화,일반선택,3,3,0,,20,토 11:00-14:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
16,본부,,교육혁신과,전학년,EA1101104,001,미디어위키를활용한역사데이터편찬,일반선택,1,1,0,,20,월 14:00(50)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
17,본부,,교육혁신과,전학년,EA1101105,001,빅데이터로읽는한국근대사1,일반선택,1,1,0,,20,수 10:00(50)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
18,본부,,교육혁신과,전학년,EA1200620,001,소비문화,일반선택,3,3,0,,20,토 10:00-13:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
19,본부,,교육혁신과,전학년,EA1200624,001,평화사상과통일의길,일반선택,2,2,0,,20,토 12:00(100)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
20,본부,,교육혁신과,전학년,EA1200626,001,분쟁의세계지리,일반선택,3,3,0,,20,토 15:00-18:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
21,본부,,교육혁신과,전학년,EA1200627,001,한옥개론,일반선택,3,3,0,,20,토 16:00-19:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
22,본부,,교육혁신과,전학년,EA1200629,001,환경문제와윤리,일반선택,2,2,0,,20,토 17:00(100)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
23,본부,,교육혁신과,전학년,EA1200630,001,4차산업혁명과수학,일반선택,3,3,0,,20,토 18:00-21:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
24,본부,,교육혁신과,전학년,EA1200631,001,심리학START,일반선택,3,3,0,,20,토 18:00-21:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
25,본부,,교육혁신과,전학년,EA1200633,001,우주로의여행,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
26,본부,,교육혁신과,전학년,EA1200651,001,다문화사회의이해,일반선택,3,3,0,,20,토 10:00-13:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
27,본부,,교육혁신과,전학년,EA1200652,001,여행과문화,일반선택,3,3,0,,20,토 10:00-13:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
28,본부,,교육혁신과,전학년,EA1200653,001,강원문화사,일반선택,3,3,0,,20,토 10:00-13:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
29,본부,,교육혁신과,전학년,EA1200655,001,바이오섬유소재화학,일반선택,3,3,0,,20,토 11:00-14:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
30,본부,,교육혁신과,전학년,EA1200660,001,서양고대철학,일반선택,3,3,0,,20,토 16:00-19:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
31,본부,,교육혁신과,전학년,EA1200661,001,화훼산업론,일반선택,3,3,0,,20,토 16:00-19:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
32,본부,,교육혁신과,전학년,EA1200662,001,중국고대철학,일반선택,3,3,0,,20,토 16:00-19:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
33,본부,,교육혁신과,전학년,EA1200664,001,창업의이해,일반선택,2,2,0,,20,토 17:00(100)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
34,본부,,교육혁신과,전학년,EA1200684,001,고사와 성어의 탐구,일반선택,2,2,0,,20,토 12:00(100)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
35,본부,,교육혁신과,전학년,EA1200685,001,무역실무,일반선택,3,3,0,,20,토 17:00-20:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
36,본부,,교육혁신과,전학년,EA1200686,001,불교가 묻고 내가 답한다,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
37,본부,,교육혁신과,전학년,EA1200687,001,심리학의 이해,일반선택,3,3,0,,20,토 11:00-14:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
38,본부,,교육혁신과,전학년,EA1200689,001,한국지형여행,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
39,본부,,교육혁신과,전학년,EA1200729,001,산업경영의이해,일반선택,2,2,0,,20,토 12:00(100)(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
40,본부,,교육혁신과,전학년,EA1200730,001,도시개발론,일반선택,3,3,0,,20,토 16:00-19:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
41,본부,,교육혁신과,전학년,EA1200754,001,에듀테크의이해,일반선택,3,3,0,,20,토 15:00-18:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
42,본부,,교육혁신과,전학년,EA1200756,001,로마문화와함께배우는교양라틴어,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
43,본부,,교육혁신과,전학년,EA1200757,001,알기쉬운기업살림살이,일반선택,3,3,0,,20,토 19:00-22:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
44,본부,,교육혁신과,전학년,EA1200758,001,리더십,일반선택,3,3,0,,20,토 16:00-19:00(외부)www.knu10.or.kr,,,N,Y,"KNU10,원격(비실시간)"
45,본부,,학생과,전학년,SQ1200759,001,효원사회봉사(I),일반선택,1,2,28,서지민,300,,,,N,N,
46,본부,,학생과,전학년,SQ1200760,001,효원사회봉사(II),일반선택,2,4,56,서지민,300,,,,N,N,
47,본부,,취업전략과,전학년,HR1100752,001,진로탐색과 생애설계,일반선택,3,3,0,조민경,70,금 09:00-12:00 201-6302-1,,,N,N,
48,본부,,취업전략과,전학년,HR1100752,002,진로탐색과 생애설계,일반선택,3,3,0,조민경,70,금 13:00-16:00 201-6302-1,,,N,N,
49,본부,,취업전략과,전학년,HR1100752,003,진로탐색과 생애설계,일반선택,3,3,0,신지원,70,금 09:00-12:00 105-3415,,,N,N,
50,본부,,취업전략과,전학년,HR1100752,004,진로탐색과 생애설계,일반선택,3,3,0,신지원,70,금 13:00-16:00 105-3415,,,N,N,
51,본부,,취업전략과,전학년,HR1100752,005,진로탐색과 생애설계,일반선택,3,3,0,김우리,70,금 09:00-12:00 201-6202,,,N,N,
52,본부,,취업전략과,전학년,HR1100752,006,진로탐색과 생애설계,일반선택,3,3,0,김우리,70,금 13:00-16:00 201-6202,,,N,N,
53,본부,,취업전략과,전학년,HR1100755,001,창의적 문제해결력,일반선택,3,3,0,김수미,70,금 09:00-12:00 105-3311,,,N,N,
54,본부,,취업전략과,전학년,HR1100755,002,창의적 문제해결력,일반선택,3,3,0,김수미,70,금 12:00-15:00 105-3311,,,N,N,
55,본부,,취업전략과,전학년,HR1200747,001,대인관계능력과의사소통기술,일반선택,3,3,0,양현보,70,금 09:00-12:00 416-B104,,,N,N,
56,본부,,취업전략과,전학년,HR1200747,002,대인관계능력과의사소통기술,일반선택,3,3,0,양현보,70,금 13:00-16:00 416-B104,,,N,N,
57,본부,,취업전략과,전학년,HR1200748,001,논리적사고와수리,일반선택,3,3,0,우승균,70,금 10:30-13:30 416-B103,,,N,N,
58,본부,,취업전략과,전학년,HR1200748,002,논리적사고와수리,일반선택,3,3,0,우승균,70,금 13:30-16:30 416-B103,,,N,N,
59,본부,,취업전략과,전학년,HR1200749,001,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,남미정,50,금 09:00-12:00 514-107,,,N,N,
60,본부,,취업전략과,전학년,HR1200749,002,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,남미정,50,금 13:00-16:00 514-107,,,N,N,
61,본부,,취업전략과,전학년,HR1200749,003,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,정해승,50,금 09:00-12:00 313-104,,,N,N,
62,본부,,취업전략과,전학년,HR1200749,004,취업실전전략(I)-자기소개서및면접준비법,일반선택,3,3,0,정해승,50,금 12:00-15:00 313-104,,,N,N,
63,본부,,취업전략과,전학년,HR1200750,001,취업실전전략(II)-인성및적성검사능력개발,일반선택,3,3,0,박은정,50,금 10:30-13:30 514-108,,,N,N,
64,본부,,취업전략과,전학년,HR1200750,002,취업실전전략(II)-인성및적성검사능력개발,일반선택,3,3,0,박은정,50,금 14:00-17:00 514-108,,,N,N,
65,본부,,취업전략과,1학년,HR1200112,001,대학생활설계와비전,일반선택,2,2,0,양영란,40,수 15:00(100) 306-215,,,N,N,
66,본부,,취업전략과,1학년,HR1200112,002,대학생활설계와비전,일반선택,2,2,0,김영진,40,목 16:30(100) 501-301,,,N,N,
67,본부,,취업전략과,1학년,HR1200112,003,대학생활설계와비전,일반선택,2,2,0,김인신,30,수 16:30(100) 516-513,,,N,N,
68,본부,,취업전략과,1학년,HR1200112,004,대학생활설계와비전,일반선택,2,2,0,권현주/이윤경,40,목 15:00(100) 602-101,,,Y,N,
69,본부,,취업전략과,1학년,HR1200112,005,대학생활설계와비전,일반선택,2,2,0,서대정,30,목 15:00(100) 601-326,,,N,N,
70,본부,,국제협력실,전학년,ZZ1100847,001,외국인학생튜터링봉사(I),일반선택,1,0,6,이문석,30,토 09:00-15:00 209-101,,,N,N,
71,본부,,국제협력실,전학년,ZZ1100848,001,외국인학생튜터링봉사(II),일반선택,1,0,6,이문석,30,토 15:00-21:00 209-101,,,N,N,
72,본부,,국제협력실,전학년,ZZ1101038,001,집중 한국어,일반선택,6,3,3,이문석,30,일 09:00-15:00 209-101,,,N,N,
73,본부,,국제협력실,전학년,ZZ1200258,001,PNU WILL,일반선택,1,1,0,크리스토퍼 헤네시,22,월 12:00(50) 209-101,,영어,N,N,
74,본부,,국제협력실,전학년,ZZ1200258,002,PNU WILL,일반선택,1,1,0,크리스토퍼 헤네시,22,화 12:00(50) 209-101,,영어,N,N,
75,본부,,국제협력실,전학년,ZZ1200258,003,PNU WILL,일반선택,1,1,0,크리스토퍼 헤네시,22,수 12:00(50) 209-101,,영어,N,N,
76,본부,,국제협력실,전학년,ZZ1200258,004,PNU WILL,일반선택,1,1,0,크리스토퍼 헤네시,22,목 12:00(50) 209-101,,영어,N,N,
77,본부,교육혁신과,교수학습지원센터,전학년,TL1200228,001,효원학습컨설팅,일반선택,2,2,0,,100,월 13:00(100) 507-002,,,N,N,
78,본부,교육혁신과,교수학습지원센터,전학년,TL1200228,002,효원학습컨설팅,일반선택,2,2,0,방희원,100,월 15:00(100) 507-002,,,N,N,
79,본부,교육혁신과,교수학습지원센터,전학년,TL1200228,003,효원학습컨설팅,일반선택,2,2,0,심효진,100,금 13:00(100) 507-002,,,N,N,
80,본부,교육혁신과,교수학습지원센터,전학년,TL1200228,004,효원학습컨설팅,일반선택,2,2,0,,100,금 15:00(100) 507-002,,,N,N,
81,본부,교육혁신과,교수학습지원센터,전학년,TL1200228,005,효원학습컨설팅,일반선택,2,2,0,,100,금 11:00(100) 밀양M01-1110,,,N,N,
82,한의학전문대학원,,한의학과,전학년,ZF1200480,001,한국의건강문화,교양선택,3,3,0,이상재,30,목 10:00-13:00 416-B102,7영역 : 융복합 ,,N,N,
83,한의학전문대학원,,한의학과,1학년,OM3300663,001,대학한문(I),전공필수,2,2,0,류정아,30,금 14:00-16:00 106-703,,,N,N,
84,한의학전문대학원,,한의학과,1학년,OM3400737,001,기초물리학및실험,전공필수,2,1,2,손영진,35,수 16:30-19:30 308-317,,,N,N,
85,한의학전문대학원,,한의학과,2학년,OM3300660,001,통합의생명과학 및 실험(I),전공필수,3,2,2,고창원,30,목 09:00-13:00 양산Y15-315,,,N,N,
86,한의학전문대학원,,한의학과,2학년,OM3600583,001,동아시아고전강독(I),전공필수,2,2,0,류정아/신상원,30,목 14:00-16:00 양산Y15-315,,,Y,N,
87,한의학전문대학원,,한의학과,2학년,OM3600622,001,한의과학실험연구(I),전공필수,3,2,2,주명수/고창원,15,화 13:00-17:00 양산Y03-205,,,Y,N,
88,한의학전문대학원,,한의학과,2학년,OM3600622,002,한의과학실험연구(I),전공필수,3,2,2,주명수/고창원,15,화 13:00-17:00 양산Y03-401,,,Y,N,
89,한의학전문대학원,,한의학과,2학년,OM3400745,001,한의학리더를위한독서토론(I),전공선택,3,3,0,김형우/김기왕,15,화 09:00-12:00 양산Y15-315,,,Y,N,
90,한의학전문대학원,,한의학과,2학년,OM3400745,002,한의학리더를위한독서토론(I),전공선택,3,3,0,신상우/정한솔,15,화 09:00-12:00 양산Y15-314,,,Y,N,
91,한의학전문대학원,,한의학과,2학년,OM3600587,001,의료인을위한심리학,전공선택,3,3,0,채한/임정화,30,금 09:00-12:00 양산Y15-315,,,Y,N,
92,한의학전문대학원,,한의학과,3학년,OM3300667,001,한의과학실험연구(I),전공필수,2,2,0,주명수/고창원,30,월 15:00-17:00 양산Y15-314,,,Y,N,
93,한의학전문대학원,,한의학과,3학년,OM3300722,001,의료인문학(II),전공필수,2,2,0,이상재/이혜윤,30,월 13:00-15:00 양산Y15-314,,,Y,N,
94,한의학전문대학원,,한의학과,3학년,OM3400741,001,생화학,전공필수,3,3,0,정명호/고창원,30,수 09:00-12:00 양산Y15-314,,,Y,N,
95,한의학전문대학원,,한의학과,3학년,OM3400742,001,한의문화,전공필수,2,2,0,신상우,30,금 11:00-13:00 양산Y15-314,,,N,N,
96,한의학전문대학원,,한의학과,3학년,OM3400524,001,의료인류학개론,전공선택,3,3,0,박인효,30,수 13:00-16:00 양산Y15-314,,,N,N,
97,한의학전문대학원,,한의학과,3학년,OM3400755,001,의학영어,전공선택,3,3,0,채한,30,목 09:00-12:00 양산Y15-314,,,N,N,
98,치의학전문대학원,,치의학과,전학년,DN3600414,001,일반미생물학,전공선택,3,3,0,나희삼,40,화 12:00-15:00 양산Y15-206,,,N,N,
99,치의학전문대학원,,치의학과,전학년,DN3600415,001,세포생물학,전공선택,3,3,0,김인령,40,화 15:00-18:00 양산Y15-206,,,N,N,
100,치의학전문대학원,,치의학과,전학년,DN3600418,001,인지신경과학,전공선택,3,3,0,이지혜,40,화 09:00-12:00 양산Y15-206,,,N,N,
101,치의학전문대학원,,치의학과,전학년,DN3600419,001,영화와의료윤리,전공선택,3,3,0,김성식,40,금 09:00-12:00 양산Y15-411,,,N,N,
102,치의학전문대학원,,치의학과,전학년,DN3600422,001,알기쉬운치과재료학,전공선택,3,3,0,설효정,40,수 12:00-15:00 양산Y15-206,,,N,N,
103,치의학전문대학원,,치의학과,1학년,DN3600392,001,일반생물학및실험(I),전공필수,3,2,2,유미현/김형식,40,금 09:00-13:00 양산Y15-206,,,Y,N,
104,치의학전문대학원,,치의학과,1학년,DN3600404,001,자기주도형프로젝트(I),전공필수,2,1,2,신형석,40,금 14:00-17:00 양산Y15-206,,,N,N,
105,치의학전문대학원,,치의학과,2학년,DN3400850,001,분자생물학,전공필수,2,2,0,김형준/김형식,40,금 13:00(100) 양산Y02-524,,,Y,N,
106,치의학전문대학원,,치의학과,2학년,DN3600393,001,일반화학및실험,전공필수,3,2,2,김인령,40,목 09:00-13:00 양산Y15-206,,,N,N,
107,치의학전문대학원,,치의학과,2학년,DN3600395,001,통계학입문및실습,전공필수,3,2,2,진진희,40,목 13:00-17:00 양산Y02-524,,,N,N,
108,치의학전문대학원,,치의학과,2학년,DN3600402,001,비판적사고와글쓰기,전공필수,1,1,0,이희원,40,수 15:00(50) 양산Y15-206,,,N,N,
109,치의학전문대학원,,치의학과,3학년,DN3300722,001,의료인문학(II),전공필수,2,2,0,신형석,40,수 16:30(100) 양산Y15-311,,,N,N,
110,치의학전문대학원,,치의학과,3학년,DN3600399,001,치의학리더를위한독서토론(II),전공필수,1.5,1.5,0,유미현,20,수 15:00(75) 양산Y02-524,,,N,N,
111,치의학전문대학원,,치의학과,3학년,DN3600399,002,치의학리더를위한독서토론(II),전공필수,1.5,1.5,0,배수경,20,수 15:00(75) 양산Y02-203,,,N,N,
112,치의학전문대학원,,치의학과,3학년,DN3600400,001,자율주제연구및실습(II),전공필수,3,2,2,이지혜/김은정,10,"월 15:00-19:00 양산Y02-607, 월 15:00-19:00 양산Y02-608",,,Y,N,
113,치의학전문대학원,,치의학과,3학년,DN3600400,002,자율주제연구및실습(II),전공필수,3,2,2,김용일/김재훈,10,"월 15:00-19:00 양산Y02-609, 월 15:00-19:00 양산Y02-610",,,Y,N,
114,치의학전문대학원,,치의학과,3학년,DN3600400,003,자율주제연구및실습(II),전공필수,3,2,2,허중보/오정민,10,"월 15:00-19:00 양산Y02-611, 월 15:00-19:00 양산Y02-612",,,Y,N,
115,치의학전문대학원,,치의학과,3학년,DN3600400,004,자율주제연구및실습(II),전공필수,3,2,2,송재민/김형식,10,"월 15:00-19:00 양산Y02-506, 월 15:00-19:00 양산Y02-507",,,Y,N,
116,치의학전문대학원,,치의학과,3학년,DN3600401,001,지역사회연구및봉사,전공필수,3,2,1,김형식,40,금 14:00-17:00 양산Y15-411,,,N,N,
117,법학전문대학원,,법학과,전학년,ZF1100832,068,직업과생활노동법,교양선택,3,3,0,권혁,40,"월 16:30(75) 609-313, 수 16:30(75) 609-313",2영역 : 사회와문화 ,,N,N,
118,법학전문대학원,,법학과,전학년,ZF1200218,068,형사소송법의기초,교양선택,3,3,0,민영성,40,"월 13:30(75) 609-215, 수 13:30(75) 609-215",2영역 : 사회와문화 ,,N,N,
119,법학전문대학원,,법학과,전학년,ZF1200277,068,헌법입문,교양선택,3,3,0,김해원,40,"월 10:30(75) 609-118, 수 10:30(75) 609-118",2영역 : 사회와문화 ,,N,N,
120,법학전문대학원,,법학과,전학년,ZF1200400,068,국제사회와분쟁,교양선택,3,3,0,박찬호,35,"월 13:30(75) 608-2211, 수 13:30(75) 608-2211",2영역 : 사회와문화 ,,N,N,
121,법학전문대학원,,법학과,전학년,ZF1200636,068,민주사회와헌법재판,교양선택,3,3,0,김현재,40,"월 13:30(75) 609-216, 수 13:30(75) 609-216",7영역 : 융복합 ,,N,N,
122,법학전문대학원,,법학과,전학년,ZF1200708,068,대학생을위한법학입문,교양선택,3,3,0,강명수,40,"월 15:00(75) 609-118, 수 15:00(75) 609-118",2영역 : 사회와문화 ,,N,N,
123,법학전문대학원,,법학과,전학년,ZF1200734,068,공정사회로가는계약법,교양선택,3,3,0,윤석찬,120,수 16:00-19:00 609-317,2영역 : 사회와문화 ,,N,Y,MOOC
124,법학전문대학원,,법학과,전학년,ZF1200734,069,공정사회로가는계약법,교양선택,3,3,0,이수경,40,"화 12:00(75) 609-215, 목 12:00(75) 609-215",2영역 : 사회와문화 ,,N,N,
125,법학전문대학원,,법학과,전학년,ZF9800370,068,헌법과정치,교양선택,3,3,0,허진성,40,"월 16:30(75) 609-314, 수 16:30(75) 609-314",2영역 : 사회와문화 ,,N,N,
126,법학전문대학원,,법학과,전학년,LA1200353,068,현대법철학의흐름,일반선택,3,3,0,김수진,35,"월 10:30(75) 608-2211, 수 10:30(75) 608-2211",,,N,N,
127,법학전문대학원,,법학과,전학년,LA1200357,068,기본행정법,일반선택,3,3,0,김학수,40,"월 15:00(75) 609-215, 수 15:00(75) 609-215",,,N,N,
128,법학전문대학원,,법학과,전학년,LA1200358,068,조세법총론,일반선택,3,3,0,김정애,40,"화 16:30(75) 514-108, 목 16:30(75) 514-108",,,N,N,
129,법학전문대학원,,법학과,전학년,LA1200359,068,민사소송법,일반선택,3,3,0,김미경,40,금 13:00-16:00 609-218,,,N,N,
130,법학전문대학원,,법학과,전학년,LA1200366,068,상거래분쟁해결방법,일반선택,3,3,0,손태우,40,"화 16:30(75) 609-215, 목 16:30(75) 609-215",,,N,N,
131,법학전문대학원,,법학과,전학년,LA1200371,068,특허와디자인보호법,일반선택,3,3,0,강명수,40,"월 13:30(75) 609-117, 수 13:30(75) 609-117",,,N,N,
132,법학전문대학원,,법학과,전학년,LA1200374,068,헌법의기초,일반선택,3,3,0,조영승,40,"월 09:00(75) 609-314, 수 09:00(75) 609-314",,,N,N,
133,법학전문대학원,,법학과,전학년,LA1200374,069,헌법의기초,일반선택,3,3,0,황동혁,40,금 09:00-12:00 609-118,,,N,N,
134,법학전문대학원,,법학과,전학년,LA1200375,068,헌법과기본권,일반선택,3,3,0,황동혁,40,"화 10:30(75) 609-218, 목 10:30(75) 609-218",,,N,N,
135,법학전문대학원,,법학과,전학년,LA1200375,069,헌법과기본권,일반선택,3,3,0,정한신,40,"화 12:00(75) 609-118, 목 12:00(75) 609-118",,,N,N,
136,법학전문대학원,,법학과,전학년,LA1200779,068,행정절차와행정정보법,일반선택,3,3,0,노기현,40,"화 12:00(75) 609-216, 목 12:00(75) 609-216",,,N,N,
137,법학전문대학원,,법학과,전학년,LA1500314,068,물권법,일반선택,3,3,0,박근웅,40,"화 15:00(75) 609-118, 목 15:00(75) 609-118",,,N,N,
138,법학전문대학원,,법학과,전학년,LA1500353,068,민법총칙(I),일반선택,3,3,0,이수경,40,"화 16:30(75) 609-118, 목 16:30(75) 609-118",,,N,N,
139,법학전문대학원,,법학과,전학년,LA1500399,068,형법각론,일반선택,3,3,0,,40,"월 15:00(75) 609-313, 수 15:00(75) 609-313",,,N,N,
140,법학전문대학원,,법학과,전학년,LA2400007,068,판례헌법,일반선택,3,3,0,정한신,40,"화 09:00(75) 609-216, 목 09:00(75) 609-216",,,N,N,
141,법학전문대학원,,법학과,전학년,LA2400007,069,판례헌법,일반선택,3,3,0,조영승,40,"월 12:00(75) 609-314, 수 12:00(75) 609-314",,,N,N,
142,법학전문대학원,,법학과,전학년,LA2800001,068,국제법(I),일반선택,3,3,0,김경우,40,"화 16:30(75) 609-117, 목 16:30(75) 609-117",,,N,N,
143,법학전문대학원,,법학과,전학년,LA2800050,068,형사정책,일반선택,3,3,0,강미영,40,"월 09:00(75) 609-216, 수 09:00(75) 609-216",,,N,N,
144,법학전문대학원,,법학과,전학년,LA2800072,068,지방자치법,일반선택,3,3,0,김학수,40,"월 16:30(75) 609-316, 수 16:30(75) 609-316",,,N,N,
145,법학전문대학원,,법학과,전학년,LA2800075,068,노동법(I),일반선택,3,3,0,김수민,40,"월 09:00(75) 609-215, 수 09:00(75) 609-215",,,N,N,
146,법학전문대학원,,법학과,전학년,LA2800091,068,회사법,일반선택,3,3,0,이정표,40,"월 15:00(75) 609-315, 수 15:00(75) 609-315",,,N,N,
147,인문대학,,국어국문학과,전학년,ZF1100248,001,한국의문학사상,교양선택,3,3,0,한태문,30,"월 13:30(75) 306-313, 수 13:30(75) 306-313",1영역 : 사상과역사 ,,N,N,
148,인문대학,,국어국문학과,전학년,ZF1100248,002,한국의문학사상,교양선택,3,3,0,허순우,30,"화 12:00(75) 306-212, 목 12:00(75) 306-212",1영역 : 사상과역사 ,,N,N,
149,인문대학,,국어국문학과,전학년,ZF1100248,003,한국의문학사상,교양선택,3,3,0,류속영,30,"월 13:30(75) 306-212, 수 13:30(75) 306-212",1영역 : 사상과역사 ,,N,N,
150,인문대학,,국어국문학과,전학년,ZF1100248,004,한국의문학사상,교양선택,3,3,0,정은영,60,"월 12:00(75) 306-313, 수 12:00(75) 306-313",1영역 : 사상과역사 ,,N,N,
151,인문대학,,국어국문학과,전학년,ZF1100248,005,한국의문학사상,교양선택,3,3,0,김은미,30,"화 12:00(75) 306-313, 목 12:00(75) 306-313",1영역 : 사상과역사 ,,N,N,
152,인문대학,,국어국문학과,전학년,ZF1100248,006,한국의문학사상,교양선택,3,3,0,노경자,30,"화 12:00(75) 306-205, 목 12:00(75) 306-205",1영역 : 사상과역사 ,,N,N,
153,인문대학,,국어국문학과,전학년,ZF1100316,001,문학과영상예술,교양선택,3,3,0,김려실,30,금 09:00-12:00 306-313,3영역 : 문학과예술 ,,N,N,
154,인문대학,,국어국문학과,전학년,ZF1100316,002,문학과영상예술,교양선택,3,3,0,김경연,30,"화 10:30(75) 306-212, 목 10:30(75) 306-212",3영역 : 문학과예술 ,,N,N,
155,인문대학,,국어국문학과,전학년,ZF1100316,003,문학과영상예술,교양선택,3,3,0,임명선,30,금 09:00-12:00 306-212,3영역 : 문학과예술 ,,N,N,
